Value.date,Value.code,Value.open,Value.high,Value.low,Value.close,Value.change,Value.pctChange,Value.accumulatedVol,Value.accumulatedVal,Value.nmVolume,Value.nmValue,Value.ptVolume,Value.ptValue
2023-05-16,VNINDEX,1068.51,1069.27,1063.65,1065.91,0.2,0.018767,681519481,1.1285E+13,592274570,9.64114E+12,89244911,1.64387E+12
2023-05-15,VNINDEX,1074.82,1076.32,1065.71,1065.71,-1.19,-0.111538,834684167,1.36256E+13,783882317,1.26088E+13,50801850,1.01679E+12
2023-05-12,VNINDEX,1057.7,1066.9,1053.97,1066.9,9.78,0.925155,725997970,1.1977E+13,688714570,1.1121E+13,37283400,8.56022E+11
2023-05-11,VNINDEX,1060.75,1063.69,1056.72,1057.12,-1.14,-0.107724,708484833,1.15341E+13,681658118,1.07985E+13,26826715,7.35584E+11
2023-05-10,VNINDEX,1055.62,1058.67,1053.34,1058.26,4.49,0.426089,717582401,1.11605E+13,650840001,9.82915E+12,66742400,1.33133E+12
2023-05-09,VNINDEX,1055.42,1058.71,1052.68,1053.77,0.33,0.031326,564536016,9.34077E+12,502647817,8.04348E+12,61888199,1.29729E+12
2023-05-08,VNINDEX,1043.44,1053.44,1043.44,1053.44,13.13,1.262124,655670835,1.07867E+13,591385275,9.24595E+12,64285560,1.54072E+12
2023-05-05,VNINDEX,1040.12,1043.22,1036.69,1040.31,-0.3,-0.028829,547895257,9.30512E+12,440008055,6.89431E+12,107887202,2.41081E+12
2023-05-04,VNINDEX,1046.05,1048.16,1038.18,1040.61,-8.51,-0.811156,625943598,1.04983E+13,571725138,9.26184E+12,54218460,1.23645E+12
2023-04-28,VNINDEX,1043.17,1049.12,1042.04,1049.12,9.49,0.912825,613275312,1.0286E+13,571831612,9.26186E+12,41443700,1.02412E+12
2023-04-27,VNINDEX,1041.39,1044.25,1037.62,1039.63,-1.17,-0.112414,511846205,8.69151E+12,466566924,7.60256E+12,45279281,1.08895E+12
2023-04-26,VNINDEX,1034.18,1040.8,1029.19,1040.8,5.95,0.574963,576776771,1.14316E+13,431573300,7.52009E+12,145203471,3.91147E+12
2023-04-25,VNINDEX,1045.87,1045.87,1032.49,1034.85,-6.51,-0.625144,539716479,9.41976E+12,485818386,8.38821E+12,53898093,1.03155E+12
2023-04-24,VNINDEX,1045.28,1047.18,1038.36,1041.36,-1.55,-0.148623,557113675,9.14579E+12,451263241,7.18614E+12,105850434,1.95966E+12
2023-04-21,VNINDEX,1050.1,1050.4,1041.26,1042.91,-6.34,-0.604241,553150388,9.67743E+12,512549327,8.84079E+12,40601061,8.36639E+11
2023-04-20,VNINDEX,1050.02,1051.86,1045.85,1049.25,0.27,0.025739,373836194,6.62885E+12,332671425,5.63856E+12,41164769,9.90291E+11
2023-04-19,VNINDEX,1057.88,1058.14,1047.47,1048.98,-6.04,-0.572501,569796173,9.72743E+12,496393949,8.61199E+12,73402224,1.11544E+12
2023-04-18,VNINDEX,1055.85,1057.15,1050.89,1055.02,1.21,0.114821,539863005,9.58119E+12,494534789,8.46442E+12,45328216,1.11677E+12
2023-04-17,VNINDEX,1052.99,1054.72,1049.11,1053.81,0.92,0.087379,453892269,8.05516E+12,406677599,6.71705E+12,47214670,1.33811E+12
2023-04-14,VNINDEX,1067.21,1068.79,1052.89,1052.89,-11.41,-1.072066,786666862,1.33288E+13,724621118,1.19866E+13,62045744,1.34218E+12
2023-04-13,VNINDEX,1070.96,1070.96,1062.26,1064.3,-5.15,-0.481556,673187292,1.144E+13,595893286,1.0051E+13,77294006,1.38902E+12
2023-04-12,VNINDEX,1071.61,1072.7,1066.43,1069.45,-0.01,-0.000935,726340439,1.26574E+13,661059890,1.12429E+13,65280549,1.4145E+12
2023-04-11,VNINDEX,1063.64,1070.56,1056.9,1069.46,4.11,0.385789,697925863,1.15942E+13,642787649,1.03552E+13,55138214,1.23908E+12
2023-04-10,VNINDEX,1073.86,1075.54,1063.45,1065.35,-4.36,-0.407587,857647895,1.50598E+13,789400520,1.3084E+13,68247375,1.97578E+12
2023-04-07,VNINDEX,1071.09,1072.94,1063.7,1069.71,-1.2,-0.112054,646146302,1.07852E+13,600743070,9.55822E+12,45403232,1.22699E+12
2023-04-06,VNINDEX,1083.27,1084.52,1070.91,1070.91,-9.95,-0.920563,999006396,1.57969E+13,955600807,1.48463E+13,43405589,9.50617E+11
2023-04-05,VNINDEX,1079.06,1080.86,1074.1,1080.86,2.41,0.223469,793935175,1.28699E+13,707086731,1.14395E+13,86848444,1.43043E+12
2023-04-04,VNINDEX,1081.36,1082.21,1075.1,1078.45,-0.83,-0.076903,804098385,1.35877E+13,746370030,1.23908E+13,57728355,1.19682E+12
2023-04-03,VNINDEX,1074.69,1079.28,1071.6,1079.28,14.64,1.375113,821519375,1.41782E+13,779125935,1.29873E+13,42393440,1.19082E+12
2023-03-31,VNINDEX,1060,1067.55,1059.79,1064.64,5.2,0.490825,640079980,1.18327E+13,574389948,1.05022E+13,65690032,1.33047E+12
2023-03-30,VNINDEX,1061.32,1066.23,1058.89,1059.44,3.11,0.294416,634109377,1.10457E+13,555354336,9.65905E+12,78755041,1.38666E+12
2023-03-29,VNINDEX,1055.18,1056.33,1048.26,1056.33,2.04,0.193495,461073256,8.30331E+12,415232942,7.30741E+12,45840314,9.95902E+11
2023-03-28,VNINDEX,1055.57,1059.83,1051.75,1054.29,2.04,0.19387,648244317,1.12099E+13,583252019,9.71748E+12,64992298,1.49241E+12
2023-03-27,VNINDEX,1047.78,1053.78,1041.99,1052.25,5.46,0.521595,557092929,9.71842E+12,510617619,8.43308E+12,46475310,1.28533E+12
2023-03-24,VNINDEX,1047.1,1052.29,1044.02,1046.79,1.69,0.161707,579867648,9.44483E+12,507075708,8.14847E+12,72791940,1.29635E+12
2023-03-23,VNINDEX,1035.33,1045.1,1030.93,1045.1,4.56,0.438234,431535129,7.79083E+12,369689198,6.54169E+12,61845931,1.24914E+12
2023-03-22,VNINDEX,1035.84,1042.84,1032.6,1040.54,8.11,0.785525,458871034,8.6497E+12,382803308,7.06557E+12,76067726,1.58413E+12
2023-03-21,VNINDEX,1028.83,1036.15,1017.05,1032.43,9.33,0.911934,474986726,8.32606E+12,381595857,6.68015E+12,93390869,1.64591E+12
2023-03-20,VNINDEX,1041.91,1042.6,1022.71,1023.1,-22.04,-2.108808,567479333,9.75602E+12,476205396,8.00312E+12,91273937,1.7529E+12
2023-03-17,VNINDEX,1053.37,1055.42,1043.54,1045.14,-2.26,-0.215772,565022067,1.02913E+13,491919487,9.04629E+12,73102580,1.24502E+12
2023-03-16,VNINDEX,1056.15,1058.73,1043.65,1047.4,-14.79,-1.392406,533030416,9.4038E+12,464248804,7.99557E+12,68781612,1.40823E+12
